"state"	"year"	"deaths"	"crude_rate"	"age_adj_rate"	"group"	"treat"
"Missouri"	1994	434	8.1	8.1	1	0
"Missouri"	1995	338	6.3	6.3	1	0
"Missouri"	1996	317	5.8	5.8	1	0
"Missouri"	1997	295	5.4	5.3	1	0
"Missouri"	1998	281	5.1	5.1	1	0
"Missouri"	1999	244	4.4	4.4	1	0
"Missouri"	2000	273	4.9	4.9	1	0
"Missouri"	2001	275	4.9	4.9	1	0
"Missouri"	2002	253	4.5	4.5	1	0
"Missouri"	2003	219	3.8	3.9	1	0
"Missouri"	2004	257	4.5	4.5	1	0
"Missouri"	2005	293	5.1	5.2	1	0
"Missouri"	2006	295	5	5.1	1	0
"Missouri"	2007	265	4.5	4.6	1	0
"Missouri"	2008	360	5.85555555555556	6.2	1	1
"Arkansas"	1994	205	8.2	8.2	0	0
"Arkansas"	1995	212	8.4	8.4	0	0
"Arkansas"	1996	164	6.4	6.4	0	0
"Arkansas"	1997	196	7.5	7.6	0	0
"Arkansas"	1998	155	5.9	6	0	0
"Arkansas"	1999	118	4.4	4.5	0	0
"Arkansas"	2000	140	5.2	5.2	0	0
"Arkansas"	2001	110	4.1	4.2	0	0
"Arkansas"	2002	146	5.4	5.5	0	0
"Arkansas"	2003	123	4.5	4.6	0	0
"Arkansas"	2004	141	5.1	5.2	0	0
"Arkansas"	2005	154	5.5	5.6	0	0
"Arkansas"	2006	155	5.5	5.6	0	0
"Arkansas"	2007	153	5.4	5.6	0	0
"Arkansas"	2008	145	5	5.4	0	0
"Illinois"	1994	1043	8.8	8.5	0	0
"Illinois"	1995	858	7.1	6.9	0	0
"Illinois"	1996	888	7.3	7.2	0	0
"Illinois"	1997	835	6.8	6.7	0	0
"Illinois"	1998	780	6.4	6.2	0	0
"Illinois"	1999	689	5.6	5.4	0	0
"Illinois"	2000	674	5.4	5.3	0	0
"Illinois"	2001	747	6	5.9	0	0
"Illinois"	2002	728	5.8	5.7	0	0
"Illinois"	2003	696	5.5	5.5	0	0
"Illinois"	2004	573	4.6	4.5	0	0
"Illinois"	2005	569	4.5	4.5	0	0
"Illinois"	2006	625	4.9	4.9	0	0
"Illinois"	2007	575	4.5	4.5	0	0
"Illinois"	2008	631	5	4.9	0	0
"Iowa"	1994	29	1	1	0	0
"Iowa"	1995	32	1.1	1.1	0	0
"Iowa"	1996	38	1.3	1.3	0	0
"Iowa"	1997	27	0.9	0.9	0	0
"Iowa"	1998	39	1.3	1.4	0	0
"Iowa"	1999	28	1	1	0	0
"Iowa"	2000	25	0.9	0.9	0	0
"Iowa"	2001	24	0.8	0.8	0	0
"Iowa"	2002	30	1	1	0	0
"Iowa"	2003	24	0.8	0.9	0	0
"Iowa"	2004	30	1	1	0	0
"Iowa"	2005	23	0.8	0.8	0	0
"Iowa"	2006	38	1.3	1.3	0	0
"Iowa"	2007	18	0.6	0.6	0	0
"Iowa"	2008	34	1.1	1.2	0	0
"Kansas"	1994	127	4.9	4.8	0	0
"Kansas"	1995	119	4.6	4.5	0	0
"Kansas"	1996	99	3.8	3.7	0	0
"Kansas"	1997	102	3.9	3.8	0	0
"Kansas"	1998	108	4.1	4	0	0
"Kansas"	1999	88	3.3	3.3	0	0
"Kansas"	2000	101	3.8	3.8	0	0
"Kansas"	2001	91	3.4	3.4	0	0
"Kansas"	2002	74	2.7	2.7	0	0
"Kansas"	2003	78	2.9	2.9	0	0
"Kansas"	2004	85	3.1	3.1	0	0
"Kansas"	2005	61	2.2	2.2	0	0
"Kansas"	2006	73	2.6	2.7	0	0
"Kansas"	2007	71	2.6	2.6	0	0
"Kansas"	2008	77	2.7	2.8	0	0
"Kentucky"	1994	165	4.3	4.2	0	0
"Kentucky"	1995	167	4.3	4.2	0	0
"Kentucky"	1996	147	3.7	3.7	0	0
"Kentucky"	1997	168	4.2	4.2	0	0
"Kentucky"	1998	174	4.4	4.3	0	0
"Kentucky"	1999	142	3.5	3.4	0	0
"Kentucky"	2000	133	3.3	3.3	0	0
"Kentucky"	2001	138	3.4	3.4	0	0
"Kentucky"	2002	127	3.1	3.1	0	0
"Kentucky"	2003	115	2.8	2.8	0	0
"Kentucky"	2004	152	3.7	3.7	0	0
"Kentucky"	2005	152	3.6	3.7	0	0
"Kentucky"	2006	111	2.6	2.7	0	0
"Kentucky"	2007	152	3.6	3.5	0	0
"Kentucky"	2008	160	3.7	3.8	0	0
"Nebraska"	1994	34	2.1	2	0	0
"Nebraska"	1995	45	2.7	2.7	0	0
"Nebraska"	1996	33	2	1.9	0	0
"Nebraska"	1997	36	2.1	2.1	0	0
"Nebraska"	1998	34	2	2	0	0
"Nebraska"	1999	29	1.7	1.7	0	0
"Nebraska"	2000	41	2.4	2.4	0	0
"Nebraska"	2001	21	1.2	1.2	0	0
"Nebraska"	2002	27	1.6	1.6	0	0
"Nebraska"	2003	31	1.8	1.8	0	0
"Nebraska"	2004	24	1.4	1.3	0	0
"Nebraska"	2005	28	1.6	1.6	0	0
"Nebraska"	2006	31	1.7	1.7	0	0
"Nebraska"	2007	43	2.4	2.5	0	0
"Nebraska"	2008	49	2.7	2.8	0	0
"Oklahoma"	1994	183	5.6	5.6	0	0
"Oklahoma"	1995	165	5	4.8	0	0
"Oklahoma"	1996	163	4.9	4.9	0	0
"Oklahoma"	1997	184	5.5	5.4	0	0
"Oklahoma"	1998	117	3.4	3.4	0	0
"Oklahoma"	1999	150	4.4	4.3	0	0
"Oklahoma"	2000	115	3.3	3.4	0	0
